,0
ema_26,8.123873710632324
vol_20,7.782566070556641
roc_10,7.482516288757324
close,7.050051212310791
ema_12,7.0277204513549805
ma_20,6.74434757232666
macd,6.72669792175293
rsi_14,6.429625988006592
bb_width_20,6.350464820861816
ret_15,6.044722557067871
atr_14,5.702629566192627
ret_5,5.061213493347168
z_ret_20,5.049076557159424
ret_1,4.195085525512695
